"muniYear","agua","dren","elec"
"03008_2006",32249,3,69291
"03008_2007",32240,5,76188
"03008_2008",73912,5,82891
"03008_2009",61563.5,5,85726
"03008_2010",68626,5,88293
"03008_2011",66190,5,91203
"03008_2012",68212,5,93830
"03008_2013",69615,5,97117
"03008_2014",70728,5,100767
"03008_2015",72266,5,107731
"03009_1994",2585,1,2442
"03009_1995",2760,1,2546
"03009_1996",3044,1,2619
"03009_1997",3292,2,2759
"03009_1998",3292,1,2953
"03009_1999",3566,2,3220
"03009_2000",4095,2,3355
"03009_2001",3894,2,3524
"03009_2002",4214,2,3720
"03009_2003",4198,2,3880
"03009_2004",4468,2,4151
"03009_2005",4475,1,4452
"03009_2006",4441,1,4928
"03009_2007",4468,1.5,5610
"03009_2008",6108,2,6129
"03009_2009",5781,2,6341
"03009_2010",6494,2,6776
"03009_2011",6598,2,6801
"03009_2012",6563.33333333333,2,6901
"03009_2013",6572.5,2,6981
"03009_2014",6205.33333333333,2,7161
"03009_2015",6547,2,7353
"04001_1994",5522,0,14473
"04001_1995",6911,0,8912
"04001_1996",7698,0,9385
"04001_1997",7735,0,9585
"04001_1998",7892,4,9614
"04001_1999",8179,4,9953
"04001_2000",8216,4,10493
"04001_2001",8216,4,10948
"04001_2002",8216,4,11182
"04001_2003",8243,4,11439
"04001_2004",8243,4,11985
"04001_2005",8286,4,12213
"04001_2006",8336,4,12708
"04001_2007",9337,4,13041
"04001_2008",9337,4,13658
"04001_2009",9336,4,13910
"04001_2010",9982,4,13407
"04001_2011",10328,4,15036
"04001_2012",10755,4,15652
"04001_2013",11380,4,16429
"04001_2014",12373,4,17674
"04001_2015",12242,4,17535
"04002_1994",45035,1,48504
"04002_1995",43787,1,51780
"04002_1996",45266,1,52022
"04002_1997",49950,1,54106
"04002_1998",49696,2,56949
"04002_1999",53897,2,59248
"04002_2000",54598,2,64055
"04002_2001",56944,2,66833
"04002_2002",58000,2,68688
"04002_2003",59120,2,71848
"04002_2004",61203,2,74496
"04002_2005",63807,2,76908
"04002_2006",66544,2,78147
"04002_2007",69734,2,79869
"04002_2008",69734,2,80789
"04002_2009",76435,2,83549
"04002_2010",76431,2,84877
"04002_2011",78709,2,92015
"04002_2012",80207,2,94483
"04002_2013",80242,2,97098
"04002_2014",85750,2,101340
"04002_2015",87656,2,101378
"04003_1994",23738,1,5613
"04003_1995",22967,1,6111
"04003_1996",25877,1,6526
"04003_1997",29513,1,6415
"04003_1998",27058,1,34598
"04003_1999",27244,1,38127
"04003_2000",27760,1,41656
"04003_2001",27910,1,43471
"04003_2002",27940,1,48361
"04003_2003",27940,1,51569
"04003_2004",39919,1,55708
"04003_2005",39919,1,59118
"04003_2006",41836,1,62265
"04003_2007",42014,1,64226
"04003_2008",42089,1,61869
"04003_2009",40833,1,63860
"04003_2010",40858,1,65793
"04003_2011",43401,1,74910
"04003_2012",43521,1,78173
"04003_2013",43521,1,84304
"04003_2014",44301,1,89479
"04003_2015",44474,1,91802
"04004_1994",9199,0,12248
"04004_1995",9164,0,13161
"04004_1996",11094,0,13790
"04004_1997",11835,1,13702
"04004_1998",12149,2,12315
"04004_1999",12413,5,12246
"04004_2000",12451,5,14597
"04004_2001",12451,5,15227
"04004_2002",12595,5,15987
"04004_2003",12772,5,16082
"04004_2004",14003,5,16666
"04004_2005",14283,5,17910
"04004_2006",14422,5,18891
"04004_2007",15026,6,20040
"04004_2008",15026,6,20906
"04004_2009",17325,6,21271
"04004_2010",17820,6,21471
"04004_2011",19086,6,22655
"04004_2012",19392,6,22779
"04004_2013",19892,6,24927
"04004_2014",21231,6,26157
"04004_2015",22109,6,26263
"04005_1994",3496,1,0
"04005_1995",3566,1,4239
"04005_1996",3606,1,4461
"04005_1997",3770,1,4559
"04005_1998",3937,2,4570
"04005_1999",4024,2,4731
"04005_2000",4024,2,4663
"04005_2001",4024,2,4864
"04005_2002",4024,2,5014
"04005_2003",4126,2,5063
"04005_2004",4242,2,5342
"04005_2005",4262,2,5721
"04005_2006",4262,2,5952
"04005_2007",4980,2,6244
"04005_2008",4980,2,6399
"04005_2009",5354,2,6519
"04005_2010",5402,2,7198
"04005_2011",5477,2,7017
"04005_2012",5609,2,7362
"04005_2013",6963,2,7719
"04005_2014",7348,2,8335
"04005_2015",7960,2,8282
"04006_1994",4484,0,6865
"04006_1995",4592,0,7252
"04006_1996",4615,0,7636
"04006_1997",5163,0,8025
