"muniYear","homicidios"
"13033_1996",NA
"13033_1997",NA
"13033_1998",NA
"13033_1999",1
"13033_2000",1
"13033_2001",NA
"13033_2002",NA
"13033_2003",NA
"13033_2004",NA
"13033_2005",NA
"13033_2006",NA
"13033_2007",NA
"13033_2008",NA
"13033_2009",NA
"13033_2010",NA
"13033_2011",NA
"13033_2012",1
"13033_2013",NA
"13033_2014",NA
"13033_2015",NA
"13034_1994",NA
"13034_1995",1
"13034_1996",NA
"13034_1997",NA
"13034_1998",NA
"13034_1999",NA
"13034_2000",1
"13034_2001",NA
"13034_2002",NA
"13034_2003",NA
"13034_2004",NA
"13034_2005",1
"13034_2006",NA
"13034_2007",NA
"13034_2008",NA
"13034_2009",NA
"13034_2010",NA
"13034_2011",2
"13034_2012",NA
"13034_2013",NA
"13034_2014",NA
"13034_2015",1
"13035_1994",2
"13035_1995",NA
"13035_1996",2
"13035_1997",NA
"13035_1998",2
"13035_1999",NA
"13035_2000",1
"13035_2001",1
"13035_2002",NA
"13035_2003",1
"13035_2004",1
"13035_2005",NA
"13035_2006",NA
"13035_2007",2
"13035_2008",2
"13035_2009",1
"13035_2010",3
"13035_2011",2
"13035_2012",1
"13035_2013",3
"13035_2014",3
"13035_2015",2
"13036_1994",NA
"13036_1995",NA
"13036_1996",1
"13036_1997",NA
"13036_1998",1
"13036_1999",NA
"13036_2000",NA
"13036_2001",NA
"13036_2002",NA
"13036_2003",NA
"13036_2004",NA
"13036_2005",NA
"13036_2006",NA
"13036_2007",NA
"13036_2008",NA
"13036_2009",1
"13036_2010",NA
"13036_2011",1
"13036_2012",1
"13036_2013",1
"13036_2014",1
"13036_2015",3
"13037_1994",2
"13037_1995",5
"13037_1996",1
"13037_1997",NA
"13037_1998",NA
"13037_1999",NA
"13037_2000",1
"13037_2001",1
"13037_2002",1
"13037_2003",1
"13037_2004",NA
"13037_2005",1
"13037_2006",NA
"13037_2007",NA
"13037_2008",NA
"13037_2009",2
"13037_2010",NA
"13037_2011",2
"13037_2012",3
"13037_2013",1
"13037_2014",2
"13037_2015",3
"13038_1994",NA
"13038_1995",NA
"13038_1996",NA
"13038_1997",NA
"13038_1998",1
"13038_1999",NA
"13038_2000",NA
"13038_2001",1
"13038_2002",NA
"13038_2003",1
"13038_2004",NA
"13038_2005",1
"13038_2006",NA
"13038_2007",1
"13038_2008",NA
"13038_2009",1
"13038_2010",NA
"13038_2011",4
"13038_2012",NA
"13038_2013",NA
"13038_2014",1
"13038_2015",NA
"13039_1994",NA
"13039_1995",2
"13039_1996",NA
"13039_1997",NA
"13039_1998",NA
"13039_1999",NA
"13039_2000",NA
"13039_2001",NA
"13039_2002",NA
"13039_2003",NA
"13039_2004",NA
"13039_2005",NA
"13039_2006",NA
"13039_2007",NA
"13039_2008",NA
"13039_2009",NA
"13039_2010",NA
"13039_2011",NA
"13039_2012",2
"13039_2013",NA
"13039_2014",1
"13039_2015",1
"13040_1994",7
"13040_1995",2
"13040_1996",4
"13040_1997",5
"13040_1998",2
"13040_1999",6
"13040_2000",1
"13040_2001",3
"13040_2002",2
"13040_2003",5
"13040_2004",2
"13040_2005",2
"13040_2006",NA
"13040_2007",1
"13040_2008",2
"13040_2009",3
"13040_2010",1
"13040_2011",NA
"13040_2012",NA
"13040_2013",1
"13040_2014",2
"13040_2015",1
"13041_1994",1
"13041_1995",NA
"13041_1996",NA
"13041_1997",1
"13041_1998",1
"13041_1999",1
"13041_2000",NA
"13041_2001",NA
"13041_2002",NA
"13041_2003",NA
"13041_2004",2
"13041_2005",2
"13041_2006",NA
"13041_2007",NA
"13041_2008",1
"13041_2009",2
"13041_2010",3
"13041_2011",1
"13041_2012",2
"13041_2013",1
"13041_2014",1
"13041_2015",3
"13042_1994",3
"13042_1995",1
"13042_1996",NA
"13042_1997",NA
"13042_1998",1
"13042_1999",NA
"13042_2000",NA
"13042_2001",NA
"13042_2002",1
"13042_2003",NA
"13042_2004",NA
"13042_2005",NA
"13042_2006",NA
"13042_2007",1
"13042_2008",NA
"13042_2009",NA
"13042_2010",1
"13042_2011",NA
"13042_2012",NA
"13042_2013",2
"13042_2014",2
"13042_2015",NA
"13043_1994",NA
"13043_1995",1
"13043_1996",NA
"13043_1997",NA
"13043_1998",NA
"13043_1999",NA
"13043_2000",1
"13043_2001",NA
"13043_2002",NA
"13043_2003",NA
"13043_2004",NA
"13043_2005",NA
"13043_2006",NA
"13043_2007",NA
"13043_2008",NA
"13043_2009",1
"13043_2010",NA
"13043_2011",NA
"13043_2012",NA
"13043_2013",NA
"13043_2014",NA
"13043_2015",NA
"13044_1994",1
"13044_1995",1
"13044_1996",2
"13044_1997",NA
"13044_1998",2
"13044_1999",1
"13044_2000",1
"13044_2001",NA
"13044_2002",NA
"13044_2003",1
"13044_2004",NA
"13044_2005",NA
"13044_2006",1
"13044_2007",NA
"13044_2008",NA
"13044_2009",NA
"13044_2010",4
"13044_2011",1
"13044_2012",NA
"13044_2013",NA
"13044_2014",NA
"13044_2015",1
"13045_1994",1
"13045_1995",NA
"13045_1996",NA
"13045_1997",NA
"13045_1998",NA
"13045_1999",NA
"13045_2000",NA
"13045_2001",NA
"13045_2002",NA
"13045_2003",NA
"13045_2004",NA
"13045_2005",NA
"13045_2006",NA
"13045_2007",NA
"13045_2008",NA
"13045_2009",1
"13045_2010",2
"13045_2011",3
"13045_2012",1
"13045_2013",1
"13045_2014",NA
"13045_2015",NA
"13046_1994",1
"13046_1995",4
"13046_1996",1
"13046_1997",2
"13046_1998",1
"13046_1999",3
"13046_2000",1
"13046_2001",2
"13046_2002",NA
"13046_2003",NA
"13046_2004",1
"13046_2005",NA
"13046_2006",NA
"13046_2007",NA
"13046_2008",1
"13046_2009",NA
"13046_2010",NA
"13046_2011",1
"13046_2012",NA
"13046_2013",2
"13046_2014",NA
"13046_2015",NA
"13047_1994",1
"13047_1995",1
"13047_1996",NA
"13047_1997",NA
"13047_1998",NA
"13047_1999",1
"13047_2000",1
"13047_2001",NA
"13047_2002",1
"13047_2003",NA
"13047_2004",NA
"13047_2005",1
"13047_2006",NA
"13047_2007",NA
"13047_2008",NA
"13047_2009",NA
"13047_2010",NA
"13047_2011",NA
"13047_2012",NA
"13047_2013",NA
"13047_2014",NA
"13047_2015",NA
"13048_1994",11
"13048_1995",17
"13048_1996",8
"13048_1997",20
"13048_1998",19
"13048_1999",15
"13048_2000",13
"13048_2001",15
"13048_2002",NA
"13048_2003",2
"13048_2004",4
"13048_2005",4
"13048_2006",5
"13048_2007",8
"13048_2008",6
"13048_2009",20
"13048_2010",6
"13048_2011",34
"13048_2012",24
"13048_2013",17
"13048_2014",34
"13048_2015",37
"13049_1994",2
"13049_1995",2
"13049_1996",1
"13049_1997",1
"13049_1998",NA
"13049_1999",4
"13049_2000",2
"13049_2001",5
"13049_2002",1
"13049_2003",1
"13049_2004",3
"13049_2005",3
"13049_2006",1
"13049_2007",1
"13049_2008",3
"13049_2009",1
"13049_2010",3
"13049_2011",6
"13049_2012",2
"13049_2013",1
"13049_2014",2
"13049_2015",4
"13050_1994",NA
"13050_1995",1
"13050_1996",NA
"13050_1997",NA
"13050_1998",1
"13050_1999",1
"13050_2000",2
"13050_2001",NA
"13050_2002",NA
"13050_2003",NA
"13050_2004",NA
"13050_2005",NA
"13050_2006",1
"13050_2007",3
"13050_2008",NA
"13050_2009",1
"13050_2010",1
"13050_2011",1
"13050_2012",1
"13050_2013",NA
"13050_2014",NA
"13050_2015",2
"13051_1994",2
"13051_1995",NA
"13051_1996",NA
"13051_1997",NA
"13051_1998",NA
"13051_1999",1
"13051_2000",NA
"13051_2001",NA
"13051_2002",NA
"13051_2003",NA
"13051_2004",NA
"13051_2005",NA
"13051_2006",1
"13051_2007",2
"13051_2008",1
"13051_2009",1
"13051_2010",2
"13051_2011",3
"13051_2012",3
"13051_2013",4
"13051_2014",4
"13051_2015",8
"13052_1994",1
"13052_1995",NA
"13052_1996",NA
"13052_1997",1
"13052_1998",1
"13052_1999",NA
"13052_2000",NA
"13052_2001",1
"13052_2002",NA
"13052_2003",1
"13052_2004",1
"13052_2005",NA
"13052_2006",NA
"13052_2007",1
"13052_2008",NA
"13052_2009",NA
"13052_2010",NA
"13052_2011",NA
"13052_2012",2
"13052_2013",1
"13052_2014",5
"13052_2015",2
"13053_1994",18
"13053_1995",11
"13053_1996",5
"13053_1997",8
"13053_1998",14
"13053_1999",2
"13053_2000",2
"13053_2001",6
"13053_2002",5
"13053_2003",4
"13053_2004",7
"13053_2005",1
"13053_2006",2
"13053_2007",3
"13053_2008",2
"13053_2009",4
"13053_2010",5
"13053_2011",2
"13053_2012",4
"13053_2013",3
"13053_2014",4
"13053_2015",6
"13054_1994",NA
"13054_1995",3
"13054_1996",1
"13054_1997",1
"13054_1998",2
"13054_1999",NA
"13054_2000",NA
"13054_2001",1
"13054_2002",NA
"13054_2003",NA
"13054_2004",NA
"13054_2005",NA
"13054_2006",NA
"13054_2007",NA
"13054_2008",NA
"13054_2009",2
"13054_2010",2
"13054_2011",3
"13054_2012",NA
"13054_2013",1
"13054_2014",1
"13054_2015",2
"13055_1994",1
"13055_1995",1
"13055_1996",1
"13055_1997",1
"13055_1998",NA
"13055_1999",NA
"13055_2000",2
"13055_2001",NA
"13055_2002",1
"13055_2003",NA
"13055_2004",NA
"13055_2005",NA
"13055_2006",NA
"13055_2007",NA
"13055_2008",NA
"13055_2009",1
"13055_2010",1
"13055_2011",NA
"13055_2012",1
"13055_2013",2
"13055_2014",NA
"13055_2015",NA
"13056_1994",1
"13056_1995",3
"13056_1996",3
"13056_1997",1
"13056_1998",NA
"13056_1999",NA
"13056_2000",1
"13056_2001",3
"13056_2002",1
"13056_2003",2
"13056_2004",4
"13056_2005",2
"13056_2006",1
"13056_2007",2
"13056_2008",1
"13056_2009",1
"13056_2010",1
"13056_2011",3
"13056_2012",NA
"13056_2013",1
"13056_2014",5
"13056_2015",NA
"13057_1994",4
"13057_1995",1
"13057_1996",2
"13057_1997",1
"13057_1998",NA
"13057_1999",NA
"13057_2000",NA
"13057_2001",1
"13057_2002",NA
"13057_2003",1
"13057_2004",2
"13057_2005",NA
"13057_2006",NA
"13057_2007",NA
"13057_2008",1
"13057_2009",3
"13057_2010",1
"13057_2011",3
"13057_2012",4
"13057_2013",1
"13057_2014",NA
"13057_2015",2
"13058_1994",2
"13058_1995",NA
"13058_1996",1
"13058_1997",NA
"13058_1998",NA
"13058_1999",NA
"13058_2000",NA
"13058_2001",NA
"13058_2002",NA
"13058_2003",NA
"13058_2004",NA
"13058_2005",1
"13058_2006",NA
"13058_2007",NA
"13058_2008",NA
"13058_2009",NA
"13058_2010",NA
"13058_2011",NA
"13058_2012",NA
"13058_2013",NA
"13058_2014",2
"13058_2015",NA
"13059_1994",1
"13059_1995",NA
"13059_1996",2
"13059_1997",NA
"13059_1998",1
"13059_1999",2
"13059_2000",2
"13059_2001",NA
"13059_2002",NA
"13059_2003",3
"13059_2004",1
"13059_2005",NA
"13059_2006",1
"13059_2007",1
"13059_2008",1
"13059_2009",1
"13059_2010",NA
"13059_2011",3
"13059_2012",NA
"13059_2013",1
"13059_2014",3
"13059_2015",NA
"13060_1994",3
"13060_1995",4
"13060_1996",4
"13060_1997",5
"13060_1998",1
"13060_1999",2
"13060_2000",2
"13060_2001",NA
"13060_2002",NA
"13060_2003",1
"13060_2004",3
"13060_2005",2
"13060_2006",2
"13060_2007",NA
"13060_2008",1
"13060_2009",NA
"13060_2010",2
"13060_2011",1
"13060_2012",2
"13060_2013",1
"13060_2014",3
"13060_2015",NA
"13061_1994",2
"13061_1995",5
"13061_1996",2
"13061_1997",2
"13061_1998",2
"13061_1999",NA
"13061_2000",1
"13061_2001",1
"13061_2002",1
"13061_2003",4
"13061_2004",1
"13061_2005",1
"13061_2006",3
"13061_2007",1
"13061_2008",NA
"13061_2009",1
"13061_2010",NA
"13061_2011",2
"13061_2012",2
"13061_2013",2
"13061_2014",6
"13061_2015",7
"13062_1994",NA
"13062_1995",1
"13062_1996",2
"13062_1997",1
"13062_1998",NA
"13062_1999",NA
"13062_2000",NA
"13062_2001",2
"13062_2002",NA
"13062_2003",NA
"13062_2004",2
"13062_2005",1
"13062_2006",1
"13062_2007",1
"13062_2008",NA
"13062_2009",1
"13062_2010",1
"13062_2011",1
"13062_2012",2
"13062_2013",2
"13062_2014",2
"13062_2015",NA
"13063_1994",7
"13063_1995",4
"13063_1996",2
"13063_1997",5
"13063_1998",13
"13063_1999",1
"13063_2000",NA
"13063_2001",3
"13063_2002",1
"13063_2003",2
"13063_2004",2
"13063_2005",2
"13063_2006",1
"13063_2007",1
"13063_2008",5
"13063_2009",3
"13063_2010",2
"13063_2011",5
"13063_2012",5
"13063_2013",5
"13063_2014",4
"13063_2015",6
"13064_1994",NA
"13064_1995",NA
"13064_1996",NA
"13064_1997",NA
"13064_1998",1
"13064_1999",NA
"13064_2000",NA
"13064_2001",NA
"13064_2002",NA
"13064_2003",NA
"13064_2004",2
"13064_2005",NA
"13064_2006",NA
"13064_2007",NA
"13064_2008",NA
"13064_2009",NA
"13064_2010",NA
"13064_2011",NA
"13064_2012",NA
"13064_2013",2
"13064_2014",1
"13064_2015",1
"13065_1994",NA
"13065_1995",NA
"13065_1996",NA
"13065_1997",NA
"13065_1998",NA
"13065_1999",NA
"13065_2000",NA
"13065_2001",1
"13065_2002",NA
"13065_2003",NA
"13065_2004",NA
"13065_2005",1
"13065_2006",NA
"13065_2007",1
"13065_2008",NA
"13065_2009",NA
"13065_2010",NA
"13065_2011",NA
"13065_2012",NA
"13065_2013",1
"13065_2014",1
"13065_2015",NA
"13066_1994",NA
"13066_1995",NA
"13066_1996",1
"13066_1997",NA
"13066_1998",NA
"13066_1999",NA
"13066_2000",1
"13066_2001",NA
"13066_2002",NA
"13066_2003",NA
"13066_2004",NA
"13066_2005",NA
"13066_2006",NA
"13066_2007",NA
"13066_2008",NA
"13066_2009",NA
"13066_2010",NA
"13066_2011",1
"13066_2012",1
"13066_2013",NA
"13066_2014",4
"13066_2015",2
"13067_1994",NA
"13067_1995",4
"13067_1996",NA
"13067_1997",1
"13067_1998",NA
"13067_1999",1
"13067_2000",3
"13067_2001",1
"13067_2002",2
"13067_2003",3
"13067_2004",6
"13067_2005",8
"13067_2006",NA
"13067_2007",1
"13067_2008",NA
"13067_2009",2
"13067_2010",1
"13067_2011",2
"13067_2012",NA
"13067_2013",2
"13067_2014",3
"13067_2015",1
"13068_1994",NA
"13068_1995",2
"13068_1996",NA
"13068_1997",2
"13068_1998",NA
"13068_1999",2
"13068_2000",NA
"13068_2001",NA
"13068_2002",NA
"13068_2003",NA
"13068_2004",NA
"13068_2005",NA
"13068_2006",NA
"13068_2007",NA
"13068_2008",NA
"13068_2009",1
"13068_2010",NA
"13068_2011",NA
"13068_2012",1
"13068_2013",1
"13068_2014",1
"13068_2015",2
"13069_1994",4
"13069_1995",5
"13069_1996",1
"13069_1997",NA
"13069_1998",1
"13069_1999",2
"13069_2000",4
"13069_2001",2
"13069_2002",1
"13069_2003",NA
"13069_2004",1
"13069_2005",1
"13069_2006",NA
"13069_2007",2
"13069_2008",1
"13069_2009",3
"13069_2010",2
"13069_2011",10
"13069_2012",4
"13069_2013",6
"13069_2014",12
"13069_2015",8
"13070_1994",NA
"13070_1995",NA
"13070_1996",NA
"13070_1997",1
"13070_1998",NA
"13070_1999",NA
"13070_2000",1
"13070_2001",3
"13070_2002",NA
"13070_2003",NA
"13070_2004",NA
"13070_2005",NA
"13070_2006",NA
"13070_2007",NA
"13070_2008",NA
"13070_2009",2
"13070_2010",NA
"13070_2011",NA
"13070_2012",NA
"13070_2013",1
"13070_2014",1
"13070_2015",NA
"13071_1994",2
"13071_1995",NA
"13071_1996",3
"13071_1997",NA
"13071_1998",NA
"13071_1999",NA
"13071_2000",NA
"13071_2001",NA
"13071_2002",NA
"13071_2003",1
"13071_2004",NA
"13071_2005",NA
"13071_2006",1
"13071_2007",1
"13071_2008",NA
"13071_2009",1
"13071_2010",1
"13071_2011",NA
"13071_2012",NA
"13071_2013",NA
"13071_2014",1
"13071_2015",NA
"13072_1994",1
"13072_1995",NA
"13072_1996",NA
"13072_1997",NA
"13072_1998",NA
"13072_1999",1
"13072_2000",NA
"13072_2001",2
"13072_2002",NA
"13072_2003",NA
"13072_2004",NA
"13072_2005",NA
"13072_2006",NA
"13072_2007",NA
"13072_2008",NA
"13072_2009",1
"13072_2010",NA
"13072_2011",NA
"13072_2012",NA
"13072_2013",NA
"13072_2014",1
"13072_2015",1
"13073_1994",NA
"13073_1995",2
"13073_1996",1
"13073_1997",3
"13073_1998",1
"13073_1999",2
"13073_2000",1
"13073_2001",1
"13073_2002",2
"13073_2003",1
"13073_2004",1
"13073_2005",1
"13073_2006",2
"13073_2007",2
"13073_2008",1
"13073_2009",1
"13073_2010",2
"13073_2011",2
"13073_2012",NA
"13073_2013",2
"13073_2014",1
"13073_2015",1
"13074_1994",NA
"13074_1995",1
"13074_1996",1
"13074_1997",NA
"13074_1998",2
"13074_1999",NA
"13074_2000",NA
"13074_2001",NA
"13074_2002",NA
"13074_2003",NA
"13074_2004",1
"13074_2005",NA
"13074_2006",NA
"13074_2007",NA
"13074_2008",NA
"13074_2009",3
"13074_2010",1
"13074_2011",3
"13074_2012",1
"13074_2013",NA
"13074_2014",NA
"13074_2015",3
"13075_1994",NA
"13075_1995",1
"13075_1996",NA
"13075_1997",NA
"13075_1998",NA
"13075_1999",1
"13075_2000",NA
"13075_2001",1
"13075_2002",NA
"13075_2003",NA
"13075_2004",NA
"13075_2005",NA
"13075_2006",NA
"13075_2007",NA
"13075_2008",NA
"13075_2009",1
"13075_2010",NA
"13075_2011",1
"13075_2012",2
"13075_2013",NA
"13075_2014",2
"13075_2015",2
"13076_1994",7
"13076_1995",3
"13076_1996",4
"13076_1997",7
"13076_1998",7
"13076_1999",6
"13076_2000",7
"13076_2001",7
"13076_2002",5
"13076_2003",3
"13076_2004",5
"13076_2005",6
"13076_2006",2
"13076_2007",3
"13076_2008",6
"13076_2009",5
"13076_2010",6
"13076_2011",16
"13076_2012",15
"13076_2013",17
"13076_2014",16
"13076_2015",16
"13077_1994",10
"13077_1995",16
"13077_1996",16
"13077_1997",13
"13077_1998",9
"13077_1999",15
"13077_2000",3
"13077_2001",5
"13077_2002",4
"13077_2003",5
"13077_2004",7
"13077_2005",8
"13077_2006",2
"13077_2007",5
"13077_2008",11
"13077_2009",13
"13077_2010",6
"13077_2011",12
"13077_2012",15
"13077_2013",9
"13077_2014",17
"13077_2015",21
"13078_1994",1
"13078_1995",2
"13078_1996",3
"13078_1997",1
"13078_1998",NA
"13078_1999",1
"13078_2000",NA
"13078_2001",NA
"13078_2002",1
"13078_2003",NA
"13078_2004",NA
"13078_2005",NA
"13078_2006",NA
"13078_2007",1
"13078_2008",NA
"13078_2009",NA
"13078_2010",NA
"13078_2011",2
"13078_2012",NA
"13078_2013",NA
"13078_2014",NA
"13078_2015",NA
"13079_1994",NA
"13079_1995",NA
"13079_1996",1
"13079_1997",NA
"13079_1998",NA
"13079_1999",NA
"13079_2000",NA
"13079_2001",1
"13079_2002",NA
"13079_2003",NA
"13079_2004",NA
"13079_2005",NA
"13079_2006",NA
"13079_2007",1
"13079_2008",NA
"13079_2009",NA
"13079_2010",NA
"13079_2011",NA
"13079_2012",NA
"13079_2013",NA
"13079_2014",1
"13079_2015",NA
"13080_1994",3
"13080_1995",1
"13080_1996",1
"13080_1997",NA
"13080_1998",7
"13080_1999",NA
"13080_2000",NA
"13080_2001",NA
"13080_2002",NA
"13080_2003",NA
"13080_2004",NA
"13080_2005",NA
"13080_2006",NA
"13080_2007",1
"13080_2008",NA
"13080_2009",2
"13080_2010",1
"13080_2011",NA
"13080_2012",NA
"13080_2013",2
"13080_2014",2
"13080_2015",NA
"13081_1994",2
"13081_1995",1
"13081_1996",NA
"13081_1997",3
"13081_1998",1
"13081_1999",2
"13081_2000",NA
"13081_2001",1
"13081_2002",1
"13081_2003",2
"13081_2004",NA
"13081_2005",NA
"13081_2006",NA
"13081_2007",1
"13081_2008",1
"13081_2009",2
"13081_2010",1
"13081_2011",4
"13081_2012",1
"13081_2013",2
"13081_2014",7
"13081_2015",4
"13082_1994",1
"13082_1995",NA
"13082_1996",NA
"13082_1997",NA
"13082_1998",1
"13082_1999",NA
"13082_2000",NA
"13082_2001",1
"13082_2002",NA
"13082_2003",NA
"13082_2004",NA
"13082_2005",NA
"13082_2006",NA
"13082_2007",NA
"13082_2008",NA
"13082_2009",NA
"13082_2010",2
"13082_2011",1
"13082_2012",1
"13082_2013",1
"13082_2014",NA
"13082_2015",1
"13083_1994",NA
"13083_1995",1
"13083_1996",NA
"13083_1997",1
"13083_1998",1
"13083_1999",NA
"13083_2000",2
"13083_2001",NA
"13083_2002",1
"13083_2003",NA
"13083_2004",NA
"13083_2005",1
"13083_2006",1
"13083_2007",NA
"13083_2008",NA
"13083_2009",2
"13083_2010",NA
"13083_2011",7
"13083_2012",3
"13083_2013",2
"13083_2014",2
"13083_2015",4
"13084_1994",3
"13084_1995",3
"13084_1996",1
"13084_1997",NA
"13084_1998",3
"13084_1999",2
"13084_2000",2
"13084_2001",3
"13084_2002",2
"13084_2003",1
"13084_2004",1
"13084_2005",1
"13084_2006",NA
"13084_2007",2
"13084_2008",3
"13084_2009",2
"13084_2010",5
"13084_2011",3
"13084_2012",1
"13084_2013",1
"13084_2014",1
"13084_2015",1
"14001_1994",1
"14001_1995",NA
"14001_1996",1
"14001_1997",3
"14001_1998",NA
"14001_1999",NA
"14001_2000",2
"14001_2001",NA
"14001_2002",NA
"14001_2003",1
"14001_2004",NA
"14001_2005",NA
"14001_2006",1
"14001_2007",1
"14001_2008",NA
"14001_2009",1
"14001_2010",2
"14001_2011",1
"14001_2012",5
"14001_2013",1
"14001_2014",1
"14001_2015",1
"14002_1994",2
"14002_1995",3
"14002_1996",NA
"14002_1997",NA
"14002_1998",1
"14002_1999",1
"14002_2000",1
"14002_2001",2
"14002_2002",1
"14002_2003",1
"14002_2004",1
"14002_2005",1
"14002_2006",2
"14002_2007",NA
"14002_2008",1
"14002_2009",NA
"14002_2010",1
"14002_2011",3
"14002_2012",6
"14002_2013",11
"14002_2014",1
"14002_2015",2
"14003_1994",1
"14003_1995",1
"14003_1996",3
"14003_1997",1
"14003_1998",1
"14003_1999",NA
"14003_2000",3
"14003_2001",2
"14003_2002",3
"14003_2003",NA
"14003_2004",2
"14003_2005",NA
"14003_2006",NA
"14003_2007",1
"14003_2008",1
"14003_2009",2
"14003_2010",1
"14003_2011",3
"14003_2012",3
"14003_2013",12
"14003_2014",1
"14003_2015",2
"14004_1994",NA
"14004_1995",NA
"14004_1996",1
"14004_1997",NA
"14004_1998",1
"14004_1999",NA
"14004_2000",NA
"14004_2001",1
"14004_2002",2
"14004_2003",NA
"14004_2004",NA
"14004_2005",NA
"14004_2006",NA
"14004_2007",NA
"14004_2008",2
"14004_2009",1
"14004_2010",NA
"14004_2011",6
"14004_2012",5
"14004_2013",NA
"14004_2014",NA
"14004_2015",NA
"14005_1994",1
"14005_1995",4
"14005_1996",NA
"14005_1997",NA
"14005_1998",NA
"14005_1999",NA
"14005_2000",1
"14005_2001",3
"14005_2002",3
"14005_2003",NA
"14005_2004",NA
"14005_2005",NA
"14005_2006",1
"14005_2007",1
"14005_2008",1
"14005_2009",4
"14005_2010",1
"14005_2011",2
"14005_2012",2
"14005_2013",6
"14005_2014",3
"14005_2015",NA
"14006_1994",5
"14006_1995",2
"14006_1996",1
"14006_1997",3
"14006_1998",4
"14006_1999",6
"14006_2000",5
"14006_2001",6
"14006_2002",9
"14006_2003",2
"14006_2004",1
"14006_2005",5
"14006_2006",3
"14006_2007",4
"14006_2008",1
"14006_2009",1
"14006_2010",2
"14006_2011",5
"14006_2012",5
"14006_2013",11
"14006_2014",7
"14006_2015",3
"14007_1994",2
"14007_1995",1
"14007_1996",2
"14007_1997",2
"14007_1998",NA
"14007_1999",3
"14007_2000",3
"14007_2001",2
"14007_2002",1
"14007_2003",NA
"14007_2004",1
"14007_2005",NA
"14007_2006",1
"14007_2007",4
"14007_2008",NA
"14007_2009",1
"14007_2010",NA
"14007_2011",4
"14007_2012",3
"14007_2013",NA
"14007_2014",NA
"14007_2015",NA
"14008_1994",2
"14008_1995",4
"14008_1996",3
"14008_1997",5
"14008_1998",5
"14008_1999",2
"14008_2000",6
"14008_2001",5
"14008_2002",6
"14008_2003",NA
"14008_2004",4
"14008_2005",3
"14008_2006",4
"14008_2007",3
"14008_2008",2
"14008_2009",3
"14008_2010",2
"14008_2011",10
"14008_2012",12
"14008_2013",5
"14008_2014",5
"14008_2015",14
"14009_1994",2
"14009_1995",2
"14009_1996",2
"14009_1997",NA
"14009_1998",3
"14009_1999",NA
"14009_2000",1
"14009_2001",3
"14009_2002",1
"14009_2003",1
"14009_2004",NA
"14009_2005",1
"14009_2006",1
"14009_2007",1
"14009_2008",5
"14009_2009",4
"14009_2010",1
"14009_2011",6
"14009_2012",9
"14009_2013",8
"14009_2014",5
"14009_2015",3
"14010_1994",NA
"14010_1995",NA
"14010_1996",NA
"14010_1997",2
"14010_1998",NA
"14010_1999",NA
"14010_2000",3
"14010_2001",NA
"14010_2002",NA
"14010_2003",NA
"14010_2004",NA
"14010_2005",NA
"14010_2006",NA
"14010_2007",NA
"14010_2008",NA
"14010_2009",NA
"14010_2010",NA
"14010_2011",NA
"14010_2012",1
"14010_2013",3
"14010_2014",2
"14010_2015",1
"14011_1994",1
"14011_1995",2
"14011_1996",2
"14011_1997",NA
"14011_1998",2
"14011_1999",NA
"14011_2000",NA
"14011_2001",1
"14011_2002",NA
"14011_2003",NA
"14011_2004",NA
"14011_2005",NA
"14011_2006",NA
"14011_2007",NA
"14011_2008",1
"14011_2009",NA
"14011_2010",NA
"14011_2011",NA
"14011_2012",1
"14011_2013",NA
"14011_2014",1
"14011_2015",2
"14012_1994",NA
"14012_1995",NA
"14012_1996",1
"14012_1997",1
"14012_1998",NA
"14012_1999",NA
"14012_2000",NA
"14012_2001",NA
"14012_2002",NA
"14012_2003",3
"14012_2004",NA
"14012_2005",1
"14012_2006",2
"14012_2007",NA
"14012_2008",NA
"14012_2009",NA
"14012_2010",1
"14012_2011",1
"14012_2012",2
"14012_2013",NA
"14012_2014",NA
"14012_2015",NA
"14013_1994",2
"14013_1995",1
"14013_1996",1
"14013_1997",1
"14013_1998",3
"14013_1999",NA
"14013_2000",2
"14013_2001",6
"14013_2002",1
"14013_2003",3
"14013_2004",NA
"14013_2005",1
"14013_2006",3
"14013_2007",2
"14013_2008",2
"14013_2009",6
"14013_2010",19
"14013_2011",28
"14013_2012",12
"14013_2013",9
"14013_2014",6
"14013_2015",9
"14014_1994",NA
"14014_1995",NA
"14014_1996",1
"14014_1997",NA
"14014_1998",NA
"14014_1999",NA
"14014_2000",1
"14014_2001",1
"14014_2002",NA
"14014_2003",1
"14014_2004",2
"14014_2005",1
"14014_2006",NA
"14014_2007",NA
"14014_2008",NA
"14014_2009",1
"14014_2010",NA
"14014_2011",NA
"14014_2012",NA
"14014_2013",1
"14014_2014",1
"14014_2015",1
"14015_1994",13
"14015_1995",7
"14015_1996",6
"14015_1997",6
"14015_1998",5
"14015_1999",6
"14015_2000",1
"14015_2001",3
"14015_2002",NA
"14015_2003",2
"14015_2004",10
"14015_2005",2
"14015_2006",4
"14015_2007",6
"14015_2008",7
"14015_2009",4
"14015_2010",4
"14015_2011",9
"14015_2012",7
"14015_2013",7
"14015_2014",3
"14015_2015",11
"14016_1994",1
"14016_1995",2
"14016_1996",NA
"14016_1997",3
"14016_1998",NA
"14016_1999",1
"14016_2000",1
"14016_2001",4
"14016_2002",1
"14016_2003",NA
"14016_2004",1
