"muniYear","homicidios"
"02005_2004",6
"02005_2005",11
"02005_2006",22
"02005_2007",13
"02005_2008",73
"02005_2009",40
"02005_2010",35
"02005_2011",51
"02005_2012",25
"02005_2013",28
"02005_2014",39
"02005_2015",43
"03001_1994",5
"03001_1995",3
"03001_1996",4
"03001_1997",4
"03001_1998",1
"03001_1999",6
"03001_2000",6
"03001_2001",2
"03001_2002",5
"03001_2003",2
"03001_2004",3
"03001_2005",2
"03001_2006",1
"03001_2007",7
"03001_2008",2
"03001_2009",6
"03001_2010",7
"03001_2011",4
"03001_2012",2
"03001_2013",2
"03001_2014",NA
"03001_2015",1
"03002_1994",1
"03002_1995",5
"03002_1996",5
"03002_1997",5
"03002_1998",2
"03002_1999",4
"03002_2000",2
"03002_2001",2
"03002_2002",2
"03002_2003",3
"03002_2004",3
"03002_2005",3
"03002_2006",5
"03002_2007",3
"03002_2008",1
"03002_2009",2
"03002_2010",4
"03002_2011",4
"03002_2012",2
"03002_2013",8
"03002_2014",4
"03002_2015",5
"03003_1994",14
"03003_1995",14
"03003_1996",8
"03003_1997",16
"03003_1998",10
"03003_1999",13
"03003_2000",9
"03003_2001",8
"03003_2002",15
"03003_2003",12
"03003_2004",12
"03003_2005",18
"03003_2006",10
"03003_2007",10
"03003_2008",14
"03003_2009",16
"03003_2010",26
"03003_2011",18
"03003_2012",18
"03003_2013",15
"03003_2014",71
"03003_2015",138
"03008_1994",8
"03008_1995",10
"03008_1996",8
"03008_1997",8
"03008_1998",5
"03008_1999",10
"03008_2000",11
"03008_2001",9
"03008_2002",10
"03008_2003",6
"03008_2004",11
"03008_2005",11
"03008_2006",10
"03008_2007",13
"03008_2008",21
"03008_2009",9
"03008_2010",18
"03008_2011",17
"03008_2012",12
"03008_2013",21
"03008_2014",15
"03008_2015",35
"03009_1994",NA
"03009_1995",NA
"03009_1996",NA
"03009_1997",2
"03009_1998",1
"03009_1999",1
"03009_2000",NA
"03009_2001",2
"03009_2002",NA
"03009_2003",2
"03009_2004",NA
"03009_2005",NA
"03009_2006",NA
"03009_2007",2
"03009_2008",NA
"03009_2009",1
"03009_2010",NA
"03009_2011",NA
"03009_2012",3
"03009_2013",1
"03009_2014",2
"03009_2015",1
"04001_1994",NA
"04001_1995",2
"04001_1996",NA
"04001_1997",1
"04001_1998",2
"04001_1999",2
"04001_2000",3
"04001_2001",NA
"04001_2002",1
"04001_2003",NA
"04001_2004",1
"04001_2005",1
"04001_2006",NA
"04001_2007",1
"04001_2008",NA
"04001_2009",NA
"04001_2010",1
"04001_2011",3
"04001_2012",2
"04001_2013",NA
"04001_2014",2
"04001_2015",1
"04002_1994",32
"04002_1995",30
"04002_1996",25
"04002_1997",17
"04002_1998",31
"04002_1999",20
"04002_2000",21
"04002_2001",20
"04002_2002",18
"04002_2003",12
"04002_2004",5
"04002_2005",12
"04002_2006",9
"04002_2007",8
"04002_2008",16
"04002_2009",11
"04002_2010",11
"04002_2011",10
"04002_2012",15
"04002_2013",12
"04002_2014",16
"04002_2015",15
"04003_1994",30
"04003_1995",29
"04003_1996",21
"04003_1997",36
"04003_1998",19
"04003_1999",29
"04003_2000",19
"04003_2001",14
"04003_2002",17
"04003_2003",21
"04003_2004",13
"04003_2005",19
"04003_2006",12
"04003_2007",18
"04003_2008",18
"04003_2009",28
"04003_2010",20
"04003_2011",18
"04003_2012",31
"04003_2013",31
"04003_2014",29
"04003_2015",28
"04004_1994",4
"04004_1995",8
"04004_1996",18
"04004_1997",9
"04004_1998",9
"04004_1999",7
"04004_2000",9
"04004_2001",5
"04004_2002",4
"04004_2003",4
"04004_2004",8
"04004_2005",4
"04004_2006",4
"04004_2007",5
"04004_2008",7
"04004_2009",2
"04004_2010",8
"04004_2011",4
"04004_2012",13
"04004_2013",5
"04004_2014",8
"04004_2015",7
"04005_1994",NA
"04005_1995",1
"04005_1996",NA
"04005_1997",NA
"04005_1998",2
"04005_1999",2
"04005_2000",NA
"04005_2001",NA
"04005_2002",NA
"04005_2003",NA
"04005_2004",NA
"04005_2005",NA
"04005_2006",NA
"04005_2007",1
"04005_2008",NA
"04005_2009",NA
"04005_2010",NA
"04005_2011",2
"04005_2012",1
"04005_2013",1
"04005_2014",1
"04005_2015",NA
"04006_1994",3
"04006_1995",5
"04006_1996",2
"04006_1997",5
"04006_1998",1
"04006_1999",NA
"04006_2000",2
"04006_2001",NA
"04006_2002",NA
"04006_2003",NA
"04006_2004",1
"04006_2005",1
"04006_2006",NA
"04006_2007",2
"04006_2008",NA
"04006_2009",4
"04006_2010",NA
"04006_2011",1
"04006_2012",4
"04006_2013",NA
"04006_2014",2
"04006_2015",1
"04007_1994",NA
"04007_1995",1
"04007_1996",NA
"04007_1997",NA
"04007_1998",2
"04007_1999",NA
"04007_2000",NA
"04007_2001",2
"04007_2002",1
"04007_2003",NA
"04007_2004",NA
"04007_2005",NA
"04007_2006",1
"04007_2007",1
"04007_2008",NA
"04007_2009",1
"04007_2010",NA
"04007_2011",NA
"04007_2012",2
"04007_2013",NA
"04007_2014",NA
"04007_2015",1
"04008_1994",NA
"04008_1995",NA
"04008_1996",1
"04008_1997",1
"04008_1998",1
"04008_1999",1
"04008_2000",1
"04008_2001",NA
"04008_2002",NA
"04008_2003",NA
"04008_2004",NA
"04008_2005",NA
"04008_2006",NA
"04008_2007",NA
"04008_2008",NA
"04008_2009",1
"04008_2010",NA
"04008_2011",NA
"04008_2012",1
"04008_2013",2
"04008_2014",1
"04008_2015",NA
"04009_1994",5
"04009_1995",22
"04009_1996",13
"04009_1997",9
"04009_1998",11
"04009_1999",1
"04009_2000",5
"04009_2001",5
"04009_2002",3
"04009_2003",3
"04009_2004",3
"04009_2005",1
"04009_2006",3
"04009_2007",5
"04009_2008",6
"04009_2009",6
"04009_2010",4
"04009_2011",3
"04009_2012",3
"04009_2013",8
"04009_2014",5
"04009_2015",4
"04010_1994",NA
"04010_1995",NA
"04010_1996",NA
"04010_1997",NA
"04010_1998",5
"04010_1999",4
"04010_2000",3
"04010_2001",NA
"04010_2002",2
"04010_2003",1
"04010_2004",2
"04010_2005",4
"04010_2006",1
"04010_2007",NA
"04010_2008",2
"04010_2009",2
"04010_2010",NA
"04010_2011",2
"04010_2012",1
"04010_2013",2
"04010_2014",2
"04010_2015",5
"04011_1994",NA
"04011_1995",NA
"04011_1996",NA
"04011_1997",NA
"04011_1998",NA
"04011_1999",11
"04011_2000",3
"04011_2001",7
"04011_2002",8
"04011_2003",3
"04011_2004",4
"04011_2005",5
"04011_2006",3
"04011_2007",9
"04011_2008",5
"04011_2009",3
"04011_2010",4
"04011_2011",5
"04011_2012",8
"04011_2013",10
"04011_2014",12
"04011_2015",5
"05001_1994",NA
"05001_1995",NA
"05001_1996",NA
"05001_1997",NA
"05001_1998",NA
"05001_1999",NA
"05001_2000",NA
"05001_2001",NA
"05001_2002",NA
"05001_2003",NA
"05001_2004",NA
"05001_2005",NA
"05001_2006",NA
"05001_2007",NA
"05001_2008",NA
"05001_2009",NA
"05001_2010",NA
"05001_2011",1
"05001_2012",NA
"05001_2013",1
"05001_2014",NA
"05001_2015",1
"05002_1994",14
"05002_1995",8
"05002_1996",7
"05002_1997",15
"05002_1998",7
"05002_1999",7
"05002_2000",14
"05002_2001",9
"05002_2002",6
"05002_2003",8
"05002_2004",16
"05002_2005",7
"05002_2006",10
"05002_2007",4
"05002_2008",5
"05002_2009",5
"05002_2010",6
"05002_2011",7
"05002_2012",20
"05002_2013",20
"05002_2014",20
"05002_2015",7
"05003_1994",4
"05003_1995",NA
"05003_1996",NA
"05003_1997",NA
"05003_1998",NA
"05003_1999",1
"05003_2000",1
"05003_2001",NA
"05003_2002",1
"05003_2003",NA
"05003_2004",1
"05003_2005",NA
"05003_2006",NA
"05003_2007",1
"05003_2008",1
"05003_2009",3
"05003_2010",3
"05003_2011",2
"05003_2012",5
"05003_2013",5
"05003_2014",1
"05003_2015",3
"05004_1994",NA
"05004_1995",2
"05004_1996",4
"05004_1997",NA
"05004_1998",NA
"05004_1999",1
"05004_2000",NA
"05004_2001",2
"05004_2002",1
"05004_2003",NA
"05004_2004",2
"05004_2005",NA
"05004_2006",NA
"05004_2007",NA
"05004_2008",NA
"05004_2009",4
"05004_2010",5
"05004_2011",2
"05004_2012",1
"05004_2013",7
"05004_2014",2
"05004_2015",NA
"05005_1994",NA
"05005_1995",NA
"05005_1996",NA
"05005_1997",NA
"05005_1998",NA
"05005_1999",NA
"05005_2000",NA
"05005_2001",NA
"05005_2002",NA
"05005_2003",NA
"05005_2004",NA
"05005_2005",NA
"05005_2006",NA
"05005_2007",NA
"05005_2008",NA
"05005_2009",NA
"05005_2010",NA
"05005_2011",1
"05005_2012",1
"05005_2013",NA
"05005_2014",1
"05005_2015",NA
"05006_1994",NA
"05006_1995",3
"05006_1996",NA
"05006_1997",1
"05006_1998",NA
"05006_1999",NA
"05006_2000",NA
"05006_2001",1
"05006_2002",NA
"05006_2003",3
"05006_2004",1
"05006_2005",2
"05006_2006",NA
"05006_2007",1
"05006_2008",NA
"05006_2009",NA
"05006_2010",1
"05006_2011",2
"05006_2012",9
"05006_2013",2
"05006_2014",7
"05006_2015",3
"05007_1994",NA
"05007_1995",NA
"05007_1996",1
"05007_1997",NA
"05007_1998",NA
"05007_1999",2
"05007_2000",NA
"05007_2001",1
"05007_2002",1
"05007_2003",NA
"05007_2004",NA
"05007_2005",NA
"05007_2006",NA
"05007_2007",NA
"05007_2008",NA
"05007_2009",1
"05007_2010",NA
"05007_2011",1
"05007_2012",NA
"05007_2013",1
"05007_2014",2
"05007_2015",NA
"05008_1994",NA
"05008_1995",NA
"05008_1996",NA
"05008_1997",NA
"05008_1998",NA
"05008_1999",1
"05008_2000",NA
"05008_2001",NA
"05008_2002",NA
"05008_2003",NA
"05008_2004",NA
"05008_2005",NA
"05008_2006",NA
"05008_2007",NA
"05008_2008",NA
"05008_2009",NA
"05008_2010",NA
"05008_2011",NA
"05008_2012",NA
"05008_2013",7
"05008_2014",2
"05008_2015",NA
"05009_1994",3
"05009_1995",6
"05009_1996",4
"05009_1997",2
"05009_1998",3
"05009_1999",6
"05009_2000",3
"05009_2001",4
"05009_2002",5
"05009_2003",NA
"05009_2004",NA
"05009_2005",7
"05009_2006",NA
"05009_2007",1
"05009_2008",6
"05009_2009",9
"05009_2010",9
"05009_2011",18
"05009_2012",10
"05009_2013",19
"05009_2014",2
"05009_2015",6
"05010_1994",5
"05010_1995",1
"05010_1996",5
"05010_1997",2
"05010_1998",2
"05010_1999",2
"05010_2000",1
"05010_2001",NA
"05010_2002",1
"05010_2003",2
"05010_2004",NA
"05010_2005",3
"05010_2006",4
"05010_2007",2
"05010_2008",NA
"05010_2009",4
"05010_2010",7
"05010_2011",7
"05010_2012",1
"05010_2013",14
"05010_2014",9
"05010_2015",6
"05011_1994",2
"05011_1995",NA
"05011_1996",1
"05011_1997",NA
"05011_1998",1
"05011_1999",NA
"05011_2000",NA
"05011_2001",NA
"05011_2002",NA
"05011_2003",NA
"05011_2004",NA
"05011_2005",3
"05011_2006",3
"05011_2007",NA
"05011_2008",NA
"05011_2009",NA
"05011_2010",1
"05011_2011",3
"05011_2012",NA
"05011_2013",NA
"05011_2014",1
"05011_2015",1
"05012_1994",NA
"05012_1995",2
"05012_1996",NA
"05012_1997",1
"05012_1998",NA
"05012_1999",2
"05012_2000",NA
"05012_2001",2
"05012_2002",NA
"05012_2003",NA
"05012_2004",1
"05012_2005",NA
"05012_2006",NA
"05012_2007",NA
"05012_2008",NA
"05012_2009",NA
"05012_2010",NA
"05012_2011",NA
"05012_2012",1
"05012_2013",5
"05012_2014",3
"05012_2015",1
"05013_1994",2
"05013_1995",NA
"05013_1996",NA
"05013_1997",1
"05013_1998",NA
"05013_1999",2
"05013_2000",NA
"05013_2001",NA
"05013_2002",2
"05013_2003",2
"05013_2004",1
"05013_2005",NA
"05013_2006",NA
"05013_2007",NA
"05013_2008",NA
"05013_2009",NA
"05013_2010",NA
"05013_2011",NA
"05013_2012",NA
