"muniYear","tot_del","hom"
"02003_2010",4152,20
"02004_1994",31017,533.5
"02004_1995",57882,1047
"02004_1996",66219,816
"02004_1997",73923,548.75
"02004_1998",41436,354
"02004_1999",40999,440
"02004_2000",48747.5,361
"02004_2001",56496,282
"02004_2002",50164,290
"02004_2003",47818,322
"02004_2004",52010,307
"02004_2005",48267,352
"02004_2006",54217,236
"02004_2007",75408,434
"02004_2008",81816,1589
"02004_2009",66442,556
"02004_2010",55281,688
"02005_1994",59001.3333333333,644
"02005_1995",59001.3333333333,644
"02005_1996",59001.3333333333,644
"02005_1997",45108.75,486.25
"02005_1998",16544,182
"02005_1999",3631.66666666667,13.3333333333333
"02005_2000",3631.66666666667,13.3333333333333
"02005_2001",3631.66666666667,13.3333333333333
"02005_2002",3431,13
"02005_2003",4033,14
"02005_2004",4080,5
"02005_2005",4109,24
"02005_2006",4461,19
"02005_2007",4138,36
"02005_2008",4543,181
"02005_2009",3192,27
"02005_2010",2916,33
"03001_1994",798,24.5
"03001_1995",1107,16
"03001_1996",1258,23
"03001_1997",1326,18.5
"03001_1998",1172,14
"03001_1999",1346,19.5
"03001_2000",1402,25
"03001_2001",1305,12
"03001_2002",1419,15.75
"03001_2003",1504,13
"03001_2004",1323,14
"03001_2005",1288,12
"03001_2006",1535,8
"03001_2007",1303,14
"03001_2008",1274,8
"03001_2009",1099,7
"03001_2010",1130,14
"03002_1994",542,20
"03002_1995",772,26
"03002_1996",718,21
"03002_1997",732,22.5
"03002_1998",813,24
"03002_1999",923,19
"03002_2000",1078,14
"03002_2001",1205,16
"03002_2002",883,15.5
"03002_2003",918,16.75
"03002_2004",949,16
"03002_2005",1158,19
"03002_2006",1128,17
"03002_2007",1235,17
"03002_2008",1191,10
"03002_2009",1089,13
"03002_2010",1063,11
"03003_1994",5965,21
"03003_1995",6795,31
"03003_1996",6980,54
"03003_1997",7138,43.5
"03003_1998",6771,33
"03003_1999",6997,28
"03003_2000",7024,23
"03003_2001",6329,27
"03003_2002",7083,28.75
"03003_2003",6685,34.5
"03003_2004",6879,38
"03003_2005",8049,35
"03003_2006",7765,24
"03003_2007",9268,20
"03003_2008",9944,23
"03003_2009",8186,24
"03003_2010",7750,33
"03008_1994",1700,26.5
"03008_1995",1758,20
"03008_1996",2156,24
"03008_1997",2582,25.5
"03008_1998",3173,27
"03008_1999",2834,29
"03008_2000",3607,31
"03008_2001",3882,28
"03008_2002",3995,30.75
"03008_2003",3923,34.5
"03008_2004",4474,36
"03008_2005",6143,38
"03008_2006",5950,36
"03008_2007",7488,52
"03008_2008",6720,61
"03008_2009",5434,32
"03008_2010",5523,34
"03009_1994",132,18
"03009_1995",151,2
"03009_1996",167,0
"03009_1997",221,1.5
"03009_1998",224,3
"03009_1999",277,3
"03009_2000",259,3
"03009_2001",300,4
"03009_2002",283,3.25
"03009_2003",262,2.25
"03009_2004",262,2
"03009_2005",358,1
"03009_2006",539,2
"03009_2007",484,3
"03009_2008",540,5
"03009_2009",453,1
"03009_2010",316,0
"04001_1994",269,0.333333333333333
"04001_1995",309,1.75
"04001_1996",289,5.75
"04001_1997",164,7.66666666666667
"04001_1998",187,6
"04001_1999",110,11
"04001_2000",133,6
"04001_2001",91,4
"04001_2002",36,14
"04001_2003",32,2
"04001_2004",30,3
"04001_2005",34,4
"04001_2006",68,4
"04001_2007",94,7
"04001_2008",66,7
"04001_2009",58,4
"04001_2010",43,7
"04002_1994",3904,6
