"CVE_MUN","IM","POB_TOT","AÑO","muniYear"
"04004",-0.231,76116,2005,"04004_2005"
"04004",-0.071,71836,1990,"04004_1990"
"04004",-0.138,70554,2000,"04004_2000"
"04009",-0.174,58553,2015,"04009_2015"
"04001",-0.248,56537,2015,"04001_2015"
"04009",-0.145,54184,2010,"04009_2010"
"04009",-0.012,53733,1995,"04009_1995"
"04001",-0.237,52890,2010,"04001_2010"
"04009",-0.042,50563,2000,"04009_2000"
"04009",-0.241,50106,2005,"04009_2005"
"04001",-0.248,49850,2005,"04001_2005"
"04001",-0.146,46899,2000,"04001_2000"
"04009",-0.255,44496,1990,"04009_1990"
"04011",0.769,43879,2015,"04011_2015"
"04001",-0.11,43799,1995,"04001_1995"
"04006",0.705,41745,1995,"04006_1995"
"04011",0.657,41194,2010,"04011_2010"
"04006",0.361,40100,2015,"04006_2015"
"04001",-0.23,38883,1990,"04001_1990"
"04006",0.156,37777,2010,"04006_2010"
"04011",0.916,37681,2000,"04011_2000"
"04011",0.62,37006,2005,"04011_2005"
"04006",0.603,36271,1990,"04006_1990"
"04006",0.28,34687,2005,"04006_2005"
"04005",-0.291,31230,2015,"04005_2015"
"04006",0.325,31214,2000,"04006_2000"
"04010",0.706,28424,2015,"04010_2015"
"04005",-0.291,28306,2010,"04005_2010"
"04005",-0.273,26973,2005,"04005_2005"
"04010",0.839,26882,2010,"04010_2010"
"04005",-0.208,24889,2000,"04005_2000"
"04010",0.972,23814,2005,"04010_2005"
"04005",0.03,23417,1995,"04005_1995"
"04010",1.458,23115,2000,"04010_2000"
"04005",-0.284,20290,1990,"04005_1990"
"04008",-0.133,10665,2015,"04008_2015"
"04008",-0.067,9736,2010,"04008_2010"
"04008",-0.047,9050,2005,"04008_2005"
"04007",0.164,8971,2015,"04007_2015"
"04007",0.116,8401,2000,"04007_2000"
"04008",0.038,8400,2000,"04008_2000"
"04007",0.153,8352,2010,"04007_2010"
"04007",0.121,8290,2005,"04007_2005"
"04007",0.009,7903,1995,"04007_1995"
"04008",0.109,7630,1995,"04008_1995"
"04007",0.27,7162,1990,"04007_1990"
"04008",-0.295,6568,1990,"04008_1990"
"05030",-1.823,807537,2015,"05030_2015"
"05030",-1.893,725123,2010,"05030_2010"
"05035",-1.722,679288,2015,"05035_2015"
