"muniYear","POB_TOT"
"05011_1990",11966
"05011_1995",11913
"05011_2010",11682
"05023_2015",11671
"05011_2000",11316
"05011_2005",11284
"05038_1990",11184
"05023_2010",10991
"05014_2015",10243
"05023_2005",10183
"05014_2010",9935
"05034_1990",9793
"05014_2005",9768
"05014_2000",9724
"05014_1995",9328
"05019_2015",8599
"05014_1990",8253
"05019_2010",8207
"05023_1990",7857
"05019_2000",7263
"05019_2005",7221
"05034_2015",6988
"05019_1990",6647
"05019_1995",6642
"05021_2015",6614
"05034_1995",6594
"05034_2010",6375
"05037_2015",6352
"05021_2010",6335
"05037_2010",6289
"05037_1995",6228
"05021_1995",6187
"05037_2000",6159
"05037_2005",6138
"05034_2000",6023
"05021_2000",5946
"05037_1990",5866
"05021_2005",5822
"05021_1990",5515
"05034_2005",5245
"05026_1990",4041
"05026_1995",3613
"05026_2000",3608
"05026_2010",3473
"05026_2005",3379
"05026_2015",3304
"05008_2015",3077
"05008_1990",2966
"05008_2010",2901
"05008_1995",2843
"05008_2000",2784
"05008_2005",2778
"05012_1990",2374
"05029_2015",2360
"05029_2010",2314
"05012_1995",2144
"05012_2010",2091
"05029_2005",2063
"05012_2000",2050
"05016_1990",2006
"05029_2000",2006
"05029_1990",1990
"05029_1995",1955
"05005_1990",1888
"05012_2005",1877
"05013_2010",1852
"05016_2010",1835
"05016_1995",1832
"05005_2010",1808
"05016_2000",1781
"05016_2015",1773
"05005_2015",1720
"05005_1995",1713
"05016_2005",1708
"05012_2015",1697
"05005_2000",1677
"05005_2005",1672
"05015_1990",1668
"05015_2000",1610
"05015_2010",1599
"05015_1995",1588
"05015_2015",1574
"05013_2015",1565
"05013_2005",1516
"05013_2000",1441
"05001_1990",1409
"05015_2005",1393
"05001_1995",1290
"05013_1995",1271
"05013_1990",1220
"05001_2000",1126
"05001_2010",1070
"05001_2015",1015
"05001_2005",991
"06007_2015",184541
"06007_2010",161420
"06002_2015",150673
"06002_2010",146904
"06007_2005",137842
"06010_2015",136779
"06002_2005",132273
"06002_2000",129958
"06007_2000",125143
"06009_2015",123191
"06002_1995",120781
"06010_2010",119956
"06002_1990",116505
"06009_2010",112726
"06007_1995",108584
"06010_2005",100121
"06009_2000",99289
"06009_2005",98150
"06007_1990",92863
"06009_1995",91036
"06009_1990",82699
"06010_2000",80808
