"muniYear","POB_TOT"
"21164_1992",51990
"21085_1992",64189
"21154_1992",46908
"21074_1992",43914
"21010_1992",38919
"21001_1992",43539
"21053_1992",43570
"21004_1992",33189
"21207_1992",43294
"21186_1992",43464
"21177_1992",33768
"21115_1992",31127
"21043_1992",37296
"21045_1992",35683
"21110_1992",28714
"21034_1992",22307
"21180_1992",26133
"21199_1992",25270
"21051_1992",35667
"21003_1992",30017
"21054_1992",14923
"21094_1992",22042
"21143_1992",19159
"21104_1992",14924
"21142_1992",21591
"21194_1992",24175
"21179_1992",25652
"21069_1992",26652
"21083_1992",28361
"21076_1992",25339
"21017_1992",14584
"21106_1992",18576
"21172_1992",24595
"21118_1992",16925
"21050_1992",17158
"21149_1992",10047
"21205_1992",15771
"21195_1992",17630
"21116_1992",17225
"21109_1992",16913
"21153_1992",14456
"21090_1992",12378
"21189_1992",14339
"21047_1992",19489
"21013_1992",12863
"21169_1992",16362
"21161_1992",13746
"21217_1992",17072
"21065_1992",13807
"21035_1992",16709
"21048_1992",16054
"21134_1992",14039
"21058_1992",16402
"21183_1992",15512
"21212_1992",18488
"21111_1992",17601
"21099_1992",15347
"21072_1992",14111
"21108_1992",12224
"21188_1992",15973
"21178_1992",16280
"21163_1992",12961
"21067_1992",13333
"21170_1992",14199
"21214_1992",11477
"21064_1992",16462
"21049_1992",11067
"21211_1992",11521
"21124_1992",10959
"21044_1992",12931
"21006_1992",11423
"21078_1992",9494
"21063_1992",11841
"21144_1992",7543
"21117_1992",12188
"21026_1992",12226
"21036_1992",10298
"21145_1992",10813
"21213_1992",11493
"21089_1992",12210
"21086_1992",11828
"21129_1992",9954
"21087_1992",10943
"21075_1992",7852
"21175_1992",8801
"21202_1992",10901
"21157_1992",12227
"21107_1992",11041
"21061_1992",8802
"21102_1992",8832
"21093_1992",11605
"21136_1992",7904
"21022_1992",11187
"21152_1992",10957
"21138_1992",9948
"21167_1992",8542
"21008_1992",7989
"21191_1992",8793
"21091_1992",7380
"21122_1992",7978
"21040_1992",5457
"21038_1992",5067
"21100_1992",9143
"21137_1992",7486
"21112_1992",9415
"21073_1992",9062
"21023_1992",7067
"21039_1992",8056
"21070_1992",8441
"21148_1992",7615
"21002_1992",8991
"21125_1992",5905
"21209_1992",8325
"21166_1992",8685
"21016_1992",7298
"21082_1992",5923
"21128_1992",5863
"21185_1992",7797
"21025_1992",6686
"21176_1992",7593
"21151_1992",6198
"21068_1992",7589
"21204_1992",5959
"21057_1992",6732
"21066_1992",7630
"21046_1992",4459
"21158_1992",7337
"21060_1992",4659
"21150_1992",6700
"21193_1992",5668
"21181_1992",4620
"21020_1992",4752
"21084_1992",5147
"21155_1992",5478
"21168_1992",5031
"21012_1992",6537
"21184_1992",5905
"21098_1992",4708
"21203_1992",4434
"21192_1992",5784
"21147_1992",5343
"21187_1992",5970
"21126_1992",4623
"21103_1992",4635
"21113_1992",5816
"21173_1992",4112
"21077_1992",4676
"21210_1992",4729
"21120_1992",3445
"21079_1992",4012
"21092_1992",4633
"21159_1992",5121
"21027_1992",5039
"21055_1992",4741
"21014_1992",4237
"21182_1992",3336
"21105_1992",4733
"21088_1992",4560
"21215_1992",3542
"21033_1992",4161
"21062_1992",4676
"21123_1992",4546
"21081_1992",4443
"21206_1992",4335
"21127_1992",3957
"21200_1992",4161
"21162_1992",3414
"21042_1992",3890
"21029_1992",3455
"21007_1992",3343
"21101_1992",3617
"21018_1992",3164
"21130_1992",3501
"21141_1992",3342
"21031_1992",3289
"21139_1992",3226
"21160_1992",3147
"21171_1992",2460
"21201_1992",3132
"21005_1992",2909
"21080_1992",2423
"21216_1992",2825
"21096_1992",2232
"21059_1992",2431
"21028_1992",1953
"21009_1992",2499
"21037_1992",2271
"21097_1992",1800
"21056_1992",1938
"21032_1992",1969
"21011_1992",1739
"21196_1992",1426
"21024_1992",1339
"21198_1992",1292
"21021_1992",1187
"21052_1992",1140
"21121_1992",1172
"21165_1992",1096
"21190_1992",1095
"21133_1992",757
"21030_1992",894
"21146_1992",689
"21131_1992",601
"21095_1992",597
"21135_1992",708
"22014_1992",495079
"22016_1992",137219
"22006_1992",49611
"22011_1992",57366
"22017_1992",41444
"22004_1992",47512
"22012_1992",42203
"22005_1992",39428
"22001_1992",47937
"22007_1992",23287
"22008_1992",25153
"22018_1992",18776
"22002_1992",26214
"22009_1992",20182
"22013_1992",16774
"22010_1992",18313
"22003_1992",13148
"22015_1992",6706
"23005_1992",221784
"23004_1992",183801
"23008_1992",NA
"23001_1992",46265
"23002_1992",50563
"23010_1992",NA
"23006_1992",26864
"23009_1992",NA
"23007_1992",16865
"23003_1992",9854
"24028_1992",563561
"24035_1992",141930
"24013_1992",135741
"24037_1992",93140
"24020_1992",72635
"24024_1992",87421
"24021_1992",44644
"24054_1992",45612
"24050_1992",36159
"24003_1992",36672
"24010_1992",38819
"24011_1992",36165
"24016_1992",38429
"24032_1992",36404
"24040_1992",35087
"24049_1992",30142
"24053_1992",30107
"24025_1992",22599
"24057_1992",NA
"24036_1992",26272
"24017_1992",27073
"24055_1992",19954
"24029_1992",22288
"24008_1992",22127
"24058_1992",NA
"24015_1992",21046
"24012_1992",18911
"24022_1992",18972
"24041_1992",15738
"24001_1992",18366
"24007_1992",16111
"24005_1992",18713
"24023_1992",17747
"24046_1992",13681
"24014_1992",16382
"24038_1992",15767
"24018_1992",12386
"24051_1992",15381
"24039_1992",12363
"24056_1992",12538
"24042_1992",12493
"24034_1992",12680
"24045_1992",14357
"24033_1992",12566
"24052_1992",12380
"24047_1992",11592
"24006_1992",11646
"24031_1992",10293
"24027_1992",11126
"24043_1992",9247
"24026_1992",8189
"24002_1992",8951
"24044_1992",8056
"24030_1992",7824
"24019_1992",7648
"24004_1992",5750
"24048_1992",5285
"24009_1992",2569
"25006_1992",637510
"25012_1992",330988
"25001_1992",317811
"25011_1992",260551
"25018_1992",132130
"25010_1992",87694
"25017_1992",88907
"25015_1992",68977
"25009_1992",47315
"25008_1992",31923
"25014_1992",48137
"25013_1992",51815
"25002_1992",47232
"25003_1992",38896
"25007_1992",29903
"25004_1992",26892
"25016_1992",25249
"25005_1992",17238
"26030_1992",490163
"26018_1992",324539
"26043_1992",117512
"26055_1992",119073
"26042_1992",127517
"26029_1992",131277
"26017_1992",61281
"26002_1992",45249
"26033_1992",72246
"26026_1992",76074
"26048_1992",26841
"26025_1992",47036
"26019_1992",27860
"26036_1992",20899
"26003_1992",25767
"26012_1992",20665
"26071_1992",NA
"26070_1992",9961
"26058_1992",12993
"26072_1992",NA
"26041_1992",13571
"26035_1992",7990
"26066_1992",10166
"26004_1992",6720
"26047_1992",8207
"26056_1992",2980
"26027_1992",6468
"26052_1992",7131
"26023_1992",6813
"26039_1992",4750
"26051_1992",6060
"26016_1992",6010
"26069_1992",5513
"26020_1992",4742
"26038_1992",4006
"26014_1992",3862
"26006_1992",3768
"26049_1992",3528
"26045_1992",3199
"26063_1992",2306
"26001_1992",2319
"26060_1992",2180
"26040_1992",2474
"26021_1992",2462
"26067_1992",2117
"26064_1992",2023
"26061_1992",1993
"26059_1992",1448
"26065_1992",1862
"26057_1992",1884
"26050_1992",1779
"26037_1992",1729
"26010_1992",1675
"26005_1992",1680
"26015_1992",1601
"26013_1992",1660
"26068_1992",1692
"26011_1992",1632
"26031_1992",1414
"26008_1992",1450
"26009_1992",1302
"26062_1992",1263
"26028_1992",1278
"26034_1992",1208
"26032_1992",1060
"26022_1992",985
"26024_1992",862
"26007_1992",789
"26054_1992",347
"26044_1992",513
"26053_1992",442
"26046_1992",421
"27004_1992",416509
"27002_1992",184849
"27005_1992",147122
"27008_1992",142920
"27012_1992",111909
"27006_1992",90314
"27013_1992",57129
"27003_1992",72958
"27014_1992",61057
"27010_1992",59965
"27001_1992",51168
"27017_1992",50619
"27016_1992",38218
"27015_1992",34873
"27009_1992",29536
"27007_1992",23494
"27011_1992",23077
"28032_1992",303280
"28022_1992",326072
"28027_1992",240211
"28041_1992",221651
"28038_1992",275170
"28003_1992",93889
"28009_1992",164551
"28033_1992",96505
"28021_1992",116285
"28040_1992",52862
"28035_1992",55339
"28012_1992",42427
"28039_1992",28261
"28002_1992",26977
"28025_1992",21748
"28016_1992",26311
"28037_1992",22513
"28043_1992",22878
"28019_1992",19159
"28015_1992",16869
"28007_1992",15149
"28013_1992",15406
"28001_1992",14886
"28017_1992",12869
"28029_1992",14291
"28030_1992",14340
"28034_1992",10432
"28004_1992",9984
"28011_1992",8869
"28018_1992",8078
"28006_1992",8085
"28042_1992",7685
"28024_1992",6254
"28005_1992",6201
"28023_1992",4644
"28008_1992",4881
"28014_1992",4302
"28026_1992",3460
"28028_1992",3144
"28020_1992",3273
"28010_1992",2167
"28031_1992",1933
"28036_1992",1077
"29033_1992",55314
"29013_1992",54733
"29005_1992",55846
"29025_1992",43972
"29010_1992",57851
"29006_1992",31283
"29044_1992",34087
"29034_1992",28504
"29018_1992",24031
"29015_1992",29899
"29043_1992",14274
"29031_1992",17021
"29041_1992",18247
"29024_1992",19001
"29023_1992",20982
"29028_1992",14607
"29039_1992",14263
"29036_1992",15104
"29019_1992",11826
"29026_1992",10974
"29048_1992",NA
"29021_1992",13482
"29007_1992",10529
"29004_1992",12111
"29029_1992",12961
"29038_1992",9153
"29032_1992",13279
"29008_1992",9162
"29002_1992",9708
"29030_1992",12298
"29014_1992",11580
"29042_1992",8921
"29027_1992",9688
"29001_1992",6548
"29050_1992",NA
"29017_1992",6734
"29040_1992",7977
"29020_1992",8388
"29037_1992",7945
"29058_1992",NA
"29012_1992",6514
"29056_1992",NA
"29053_1992",NA
"29059_1992",NA
"29016_1992",5489
"29022_1992",5730
"29003_1992",4415
"29045_1992",NA
"29052_1992",NA
"29035_1992",3916
"29054_1992",NA
"29049_1992",NA
"29009_1992",3565
"29060_1992",NA
"29011_1992",3324
"29046_1992",NA
"29057_1992",NA
"29051_1992",NA
"29055_1992",NA
"29047_1992",NA
"30193_1992",364266
"30087_1992",306837
"30039_1992",243179
"30044_1992",157525
"30108_1992",198466
"30131_1992",152871
"30124_1992",163143
"30141_1992",129605
"30189_1992",122080
"30028_1992",140676
"30048_1992",53254
"30118_1992",114300
"30102_1992",107156
"30174_1992",87229
"30160_1992",103428
"30155_1992",86939
"30123_1992",89947
"30175_1992",79018
"30038_1992",65113
"30003_1992",73696
"30061_1992",76264
"30045_1992",77976
"30065_1992",37936
"30105_1992",30662
"30128_1992",47078
"30085_1992",47180
"30068_1992",39214
"30010_1992",47521
"30109_1992",58863
"30183_1992",46854
"30071_1992",39362
"30058_1992",60375
"30047_1992",35586
"30133_1992",46372
"30143_1992",52673
"30173_1992",51320
"30040_1992",35269
"30083_1992",46838
"30011_1992",48819
"30130_1992",50825
"30023_1992",45958
"30032_1992",42040
"30204_1992",46900
"30207_1992",43994
"30014_1992",34667
"30086_1992",26831
"30201_1992",34831
"30004_1992",41073
"30077_1992",33428
"30073_1992",39108
"30030_1992",36153
"30138_1992",38154
"30089_1992",39219
"30094_1992",33826
"30092_1992",25319
"30115_1992",28774
"30181_1992",36186
"30101_1992",21473
"30161_1992",35141
"30149_1992",25314
"30015_1992",33962
"30142_1992",33301
"30026_1992",26201
"30126_1992",29356
"30144_1992",27076
"30125_1992",23938
"30191_1992",27755
"30206_1992",26906
"30211_1992",NA
"30151_1992",28699
"30210_1992",NA
"30091_1992",28385
"30009_1992",27087
"30013_1992",27035
"30069_1992",27887
"30034_1992",27706
"30053_1992",22192
"30148_1992",26989
"30066_1992",24192
"30016_1992",22324
"30127_1992",13398
"30025_1992",19350
"30159_1992",13757
"30121_1992",25987
"30070_1992",24719
"30158_1992",25449
"30169_1992",24509
"30081_1992",7606
"30033_1992",24243
"30208_1992",NA
"30117_1992",21442
"30021_1992",22675
"30100_1992",19823
"30147_1992",13384
"30135_1992",11714
"30080_1992",17512
"30006_1992",14805
"30104_1992",20007
"30051_1992",19664
"30134_1992",18364
"30112_1992",16134
"30205_1992",21219
"30072_1992",18410
"30022_1992",14397
"30062_1992",13256
"30049_1992",17229
"30172_1992",18953
"30097_1992",20631
"30192_1992",18621
"30157_1992",18964
"30043_1992",14669
"30132_1992",12244
"30075_1992",18919
"30095_1992",18447
"30182_1992",7967
"30067_1992",8985
"30129_1992",17891
"30099_1992",13165
"30111_1992",17754
"30196_1992",16804
"30027_1992",15001
"30122_1992",12062
"30188_1992",13555
"30031_1992",12783
"30050_1992",13970
"30060_1992",14335
"30116_1992",12292
"30093_1992",12007
"30164_1992",13441
"30145_1992",10449
"30046_1992",13879
"30059_1992",13399
"30120_1992",11265
"30178_1992",15607
"30024_1992",11034
"30082_1992",12662
"30063_1992",14921
"30209_1992",NA
"30203_1992",11661
"30168_1992",10068
"30167_1992",12992
"30202_1992",10980
"30057_1992",11749
"30152_1992",13988
"30154_1992",14082
"30055_1992",13592
"30078_1992",12680
"30076_1992",12537
"30197_1992",13185
"30200_1992",11695
"30029_1992",9622
"30212_1992",NA
"30054_1992",12182
"30103_1992",8674
"30052_1992",10645
"30035_1992",11073
"30194_1992",6858
"30150_1992",11525
"30110_1992",7146
"30180_1992",10429
"30079_1992",8751
"30177_1992",7853
"30090_1992",9160
"30199_1992",7208
"30170_1992",7972
"30020_1992",6400
"30114_1992",9962
"30036_1992",5850
"30008_1992",8477
"30166_1992",7823
"30001_1992",6551
"30037_1992",5940
"30165_1992",6839
"30136_1992",4445
"30012_1992",7388
"30184_1992",5151
"30198_1992",7357
"30074_1992",5069
"30153_1992",7007
"30186_1992",5684
"30056_1992",6376
"30162_1992",5055
"30019_1992",4519
"30007_1992",5397
"30042_1992",5942
"30084_1992",6227
"30139_1992",6231
"30137_1992",3420
"30156_1992",4438
"30119_1992",5433
"30187_1992",4289
"30163_1992",5448
"30195_1992",3947
"30005_1992",4869
"30171_1992",3972
"30185_1992",3139
"30088_1992",4269
"30176_1992",4581
"30106_1992",3446
"30113_1992",3435
"30017_1992",3769
"30179_1992",3060
"30064_1992",2971
"30146_1992",2667
"30002_1992",2605
"30098_1992",1829
"30140_1992",1790
"30107_1992",2400
"30041_1992",1660
"30190_1992",2202
"30018_1992",1526
"30096_1992",1654
"31050_1992",592287
"31041_1992",27632
"31102_1992",46389
"31096_1992",57207
"31059_1992",40132
"31101_1992",41830
"31079_1992",30339
"31089_1992",28301
"31019_1992",18827
"31052_1992",27122
"31038_1992",22618
"31056_1992",22556
"31040_1992",22577
"31058_1992",19960
"31048_1992",17743
"31033_1992",15848
"31093_1992",14107
"31076_1992",12895
"31002_1992",11749
"31032_1992",11513
"31085_1992",10537
"31104_1992",11790
"31098_1992",11521
"31053_1992",10768
"31091_1992",7701
"31003_1992",7935
"31013_1992",6653
"31080_1992",7181
"31067_1992",7184
"31069_1992",7601
"31006_1992",7362
"31021_1992",5557
"31027_1992",7409
"31011_1992",4782
"31057_1992",7186
"31036_1992",5642
"31090_1992",5039
"31007_1992",5958
"31084_1992",6660
"31044_1992",4822
"31092_1992",4629
"31055_1992",4597
"31075_1992",4406
"31001_1992",4868
"31029_1992",5329
"31034_1992",5255
"31035_1992",5354
"31004_1992",5019
"31047_1992",4361
"31042_1992",5016
"31095_1992",4474
"31025_1992",3855
"31037_1992",3980
"31015_1992",3801
"31087_1992",3661
"31063_1992",4004
"31073_1992",2591
"31009_1992",4879
"31062_1992",3628
"31094_1992",3701
"31023_1992",3756
"31017_1992",3952
"31020_1992",3201
"31022_1992",2988
"31008_1992",3888
"31039_1992",2702
"31099_1992",2622
"31066_1992",2920
"31078_1992",4002
"31070_1992",3444
"31012_1992",3559
"31074_1992",3776
"31030_1992",3507
"31082_1992",3364
"31049_1992",2122
"31097_1992",3626
"31100_1992",2568
"31026_1992",3165
"31061_1992",2711
"31103_1992",2776
"31024_1992",2584
"31051_1992",2488
"31081_1992",2422
"31046_1992",2565
"31018_1992",2754
"31068_1992",3056
"31043_1992",1769
"31105_1992",2181
"31016_1992",2023
"31031_1992",2714
"31054_1992",2454
"31028_1992",2083
"31077_1992",2262
"31010_1992",1965
"31045_1992",2125
"31086_1992",2355
"31106_1992",2058
"31005_1992",1959
"31088_1992",2097
"31072_1992",1976
"31065_1992",1525
"31083_1992",1231
"31071_1992",1419
"31064_1992",1483
"31014_1992",1194
"31060_1992",1077
"32010_1992",166664
"32017_1992",91902
"32056_1992",112521
"32038_1992",61118
"32042_1992",64223
"32039_1992",58909
"32020_1992",57250
"32024_1992",35238
"32005_1992",23514
"32036_1992",34453
"32049_1992",39433
"32055_1992",33989
"32051_1992",30705
"32034_1992",31611
"32048_1992",23258
"32014_1992",25765
"32019_1992",24195
"32029_1992",20807
"32016_1992",21083
"32040_1992",21336
"32026_1992",21683
"32022_1992",18991
"32057_1992",NA
"32054_1992",14996
"32052_1992",12986
"32037_1992",13100
"32035_1992",12666
"32044_1992",15512
"32009_1992",13983
"32023_1992",13242
"32007_1992",13059
"32025_1992",11496
"32053_1992",11977
"32008_1992",9804
"32032_1992",8541
"32031_1992",10662
"32046_1992",10151
"32047_1992",9616
"32050_1992",6720
"32045_1992",9391
"32006_1992",8408
"32012_1992",8229
"32001_1992",7766
"32033_1992",6485
"32013_1992",4900
"32018_1992",6062
"32021_1992",5095
"32002_1992",4983
"32004_1992",4419
"32003_1992",3913
"32011_1992",3826
"32041_1992",3524
"32027_1992",3233
"32028_1992",3368
"32030_1992",3380
"32015_1992",2745
"32058_1992",NA
"32043_1992",1558
"01001_1993",550907
"01005_1993",48666
"01003_1993",50346
"01007_1993",36681
"01006_1993",29279
"01002_1993",34303
"01011_1993",NA
"01009_1993",15614
"01010_1993",NA
"01004_1993",11342
"01008_1993",6995
"02004_1993",885557
"02002_1993",656748
"02001_1993",291877
"02003_1993",57940
"02005_1993",NA
"03008_1993",58605
"03003_1993",173516
"03001_1993",69280
"03002_1993",42831
"03009_1993",NA
"04002_1993",191568
"04003_1993",160758
"04004_1993",76667
"04009_1993",49828
"04001_1993",41762
"04011_1993",NA
"04006_1993",39463
"04005_1993",22112
"04010_1993",NA
"04008_1993",7186
"04007_1993",7598
"05030_1993",491263
"05035_1993",490313
"05018_1993",185204
"05025_1993",108599
"05002_1993",70361
"05017_1993",87496
"05033_1993",94443
"05027_1993",32910
"05010_1993",62877
"05020_1993",64124
"05028_1993",49448
"05009_1993",48869
"05024_1993",41754
"05032_1993",40530
"05022_1993",18984
"05006_1993",21695
"05031_1993",20107
"05004_1993",18295
"05003_1993",19332
"05036_1993",20184
"05007_1993",12657
"05023_1993",10818
"05038_1993",11900
"05011_1993",11934
"05014_1993",8882
"05034_1993",7724
"05019_1993",6644
"05021_1993",5909
"05037_1993",6081
"05026_1993",3778
"05008_1993",2892
"05012_1993",2233
"05029_1993",1969
"05016_1993",1900
"05005_1993",1781
"05013_1993",1250
"05015_1993",1620
"05001_1993",1336
"06007_1993",101999
"06002_1993",119052
"06010_1993",52978
"06009_1993",87605
"06005_1993",25056
"06001_1993",27922
"06003_1993",17321
"06004_1993",16565
"06008_1993",8269
"06006_1993",5089
"07101_1993",347000
"07089_1993",235615
"07059_1993",140352
"07078_1993",104886
"07019_1993",88342
"07031_1993",68606
"07052_1993",94016
"07065_1993",71707
"07108_1993",77167
"07027_1993",52914
"07061_1993",54142
"07097_1993",71135
"07023_1993",52465
"07017_1993",61782
"07107_1993",59617
"07096_1993",48648
"07099_1993",58485
"07034_1993",47610
"07057_1993",51068
"07106_1993",48207
"07077_1993",43862
"07040_1993",46359
"07069_1993",45818
"07012_1993",24563
"07064_1993",38886
"07051_1993",37465
"07020_1993",35751
"07015_1993",35469
"07074_1993",31712
"07041_1993",28791
"07081_1993",28805
"07093_1993",27455
"07094_1993",20610
"07102_1993",32376
"07092_1993",34778
"07111_1993",23710
"07009_1993",37960
"07026_1993",32923
"07079_1993",22781
"07046_1993",35161
"07087_1993",27361
"07080_1993",30313
"07109_1993",23336
"07037_1993",29531
"07013_1993",16869
"07112_1993",24595
"07030_1993",25724
"07100_1993",22558
"07004_1993",18093
"07072_1993",19417
"07032_1993",25681
"07103_1993",22902
"07002_1993",22518
"07068_1993",26509
"07006_1993",22949
"07054_1993",22543
"07071_1993",24985
"07008_1993",23243
"07003_1993",24921
"07075_1993",18293
"07044_1993",15039
"07076_1993",18508
"07086_1993",13317
"07049_1993",15087
"07038_1993",18109
"07039_1993",17070
"07014_1993",14642
"07066_1993",13688
"07021_1993",16693
"07005_1993",15031
"07048_1993",20631
"07047_1993",10689
"07114_1993",NA
"07011_1993",16916
"07083_1993",12781
"07062_1993",14711
"07001_1993",12251
"07016_1993",15156
"07022_1993",9715
"07105_1993",13143
"07104_1993",10452
"07035_1993",9688
"07070_1993",10677
"07082_1993",6211
"07115_1993",NA
"07091_1993",8757
"07060_1993",6943
"07024_1993",7401
"07067_1993",7071
"07056_1993",6207
"07116_1993",NA
"07042_1993",7596
"07043_1993",7844
"07085_1993",6722
"07007_1993",6314
"07073_1993",5861
"07018_1993",6150
"07084_1993",6718
"07053_1993",7495
"07117_1993",NA
"07025_1993",6039
"07010_1993",6121
"07033_1993",3997
"07098_1993",4484
"07036_1993",5514
"07110_1993",4523
"07113_1993",NA
"07028_1993",4659
"07055_1993",4208
"07045_1993",4403
"07050_1993",5130
"07118_1993",NA
"07029_1993",3799
"07058_1993",3157
"07090_1993",3309
"07063_1993",2864
"07119_1993",NA
"07088_1993",1547
"08037_1993",920371
"08019_1993",586952
"08017_1993",117061
"08021_1993",108078
"08032_1993",95214
"08050_1993",52042
"08029_1993",39355
"08011_1993",46156
"08027_1993",36897
"08045_1993",36856
"08036_1993",38646
"08031_1993",40746
"08040_1993",35076
"08062_1993",31664
"08048_1993",26709
"08009_1993",24403
"08052_1993",23712
"08005_1993",18276
"08002_1993",18814
"08010_1993",18639
"08065_1993",17821
"08007_1993",15999
"08055_1993",14543
"08004_1993",3811
"08060_1993",13618
"08008_1993",10544
"08001_1993",12358
"08013_1993",10252
"08035_1993",10835
"08030_1993",9467
"08054_1993",9605
"08025_1993",9729
"08028_1993",9384
"08012_1993",8699
"08059_1993",7849
"08046_1993",7476
"08003_1993",9439
"08034_1993",8352
"08063_1993",8016
"08053_1993",8764
"08066_1993",8053
"08020_1993",7186
"08006_1993",7588
"08051_1993",7382
"08067_1993",6325
"08018_1993",6304
"08061_1993",6063
"08023_1993",3432
"08038_1993",5455
"08022_1993",4929
"08026_1993",4974
"08047_1993",5056
"08044_1993",4800
"08024_1993",5281
"08039_1993",4660
"08043_1993",3762
"08016_1993",3909
"08049_1993",3351
"08058_1993",3085
"08057_1993",2855
"08056_1993",3165
"08014_1993",2697
"08042_1993",2511
"08064_1993",2606
"08015_1993",2172
"08041_1993",1922
"08033_1993",1555
"09007_1993",1610949
"09005_1993",1261363
"09010_1993",663046
"09012_1993",524391
"09003_1993",648086
"09015_1993",561963
"09017_1993",498949
"09002_1993",462855
"09006_1993",430480
"09014_1993",384657
"09013_1993",306347
"09016_1993",380826
"09011_1993",234947
"09008_1993",204987
"09004_1993",129713
"09009_1993",73612
"10005_1993",443567
"10007_1993",247032
"10012_1993",100898
"10023_1993",41995
"10032_1993",42654
"10014_1993",25551
"10004_1993",34675
"10008_1993",32482
"10001_1993",34822
"10039_1993",28723
"10034_1993",25003
"10036_1993",24549
"10013_1993",24458
"10022_1993",26436
"10026_1993",23238
"10038_1993",19617
"10016_1993",19483
"10035_1993",14114
"10018_1993",14021
"10020_1993",14524
"10028_1993",14287
"10015_1993",13401
"10024_1993",13808
"10017_1993",12175
"10006_1993",12548
"10009_1993",11636
"10021_1993",11154
"10037_1993",9450
"10011_1993",7390
"10031_1993",7987
"10027_1993",7476
"10033_1993",7584
"10025_1993",5169
"10010_1993",5360
"10003_1993",5455
"10019_1993",4992
"10002_1993",4556
"10030_1993",2327
"10029_1993",2442
"11020_1993",968602
"11017_1993",391980
"11007_1993",336212
"11027_1993",214239
"11037_1993",124705
"11015_1993",124492
"11003_1993",115470
"11014_1993",113049
"11023_1993",139808
"11042_1993",131685
"11033_1993",85463
"11031_1993",91552
"11030_1993",91835
"11002_1993",112471
"11028_1993",97733
"11011_1993",77812
"11005_1993",62343
"11001_1993",73212
"11035_1993",59565
"11009_1993",59769
"11025_1993",32971
"11032_1993",47268
"11046_1993",76041
"11004_1993",51919
"11041_1993",48301
"11026_1993",48412
"11044_1993",41017
"11019_1993",52583
"11021_1993",47566
"11029_1993",31754
"11008_1993",37659
"11039_1993",37807
"11018_1993",30541
"11012_1993",23941
"11013_1993",17898
"11022_1993",19950
"11016_1993",19031
"11043_1993",17975
"11040_1993",13415
"11038_1993",12128
"11010_1993",9454
"11024_1993",10553
"11045_1993",11353
"11036_1993",8585
"11006_1993",5249
"11034_1993",4161
"12001_1993",647991
"12029_1993",155761
"12035_1993",110128
"12028_1993",93405
"12038_1993",76725
"12055_1993",91741
"12066_1993",47607
"12021_1993",64713
"12012_1993",46039
"12046_1993",41680
"12057_1993",60850
"12011_1993",60627
"12058_1993",54139
"12075_1993",35705
"12053_1993",46248
"12048_1993",45783
"12056_1993",38001
"12022_1993",44330
"12052_1993",29701
"12061_1993",31686
"12003_1993",37549
"12034_1993",36829
"12050_1993",29456
"12032_1993",32151
"12076_1993",NA
"12051_1993",29500
"12059_1993",33931
"12041_1993",27050
"12007_1993",31925
"12013_1993",32486
"12043_1993",25836
"12027_1993",27757
"12054_1993",26027
"12071_1993",17594
"12068_1993",26735
"12023_1993",24779
"12010_1993",18029
"12002_1993",19748
"12040_1993",21246
"12045_1993",19392
"12039_1993",21435
"12073_1993",21922
"12072_1993",15002
"12062_1993",12756
"12074_1993",16985
"12067_1993",20271
"12030_1993",16867
"12020_1993",14027
"12004_1993",15323
"12078_1993",NA
"12042_1993",14386
"12079_1993",NA
"12017_1993",16366
"12025_1993",13081
"12014_1993",16111
"12064_1993",14429
"12016_1993",14507
"12033_1993",13068
"12019_1993",12813
"12006_1993",14123
"12060_1993",12584
"12018_1993",12232
"12077_1993",NA
"12015_1993",11285
"12049_1993",10167
"12044_1993",9798
"12069_1993",10775
"12036_1993",8387
"12081_1993",NA
"12026_1993",9850
"12063_1993",8504
"12031_1993",8533
"12008_1993",8365
"12070_1993",7258
"12047_1993",7478
"12024_1993",6046
"12009_1993",6020
"12037_1993",7346
"12080_1993",NA
"12065_1993",6676
"12005_1993",5256
"13048_1993",203586
"13077_1993",102744
"13051_1993",25162
"13028_1993",92674
"13069_1993",35445
"13076_1993",78770
"13030_1993",70569
"13063_1993",57402
"13016_1993",40787
"13003_1993",42742
"13061_1993",47828
"13067_1993",34034
"13041_1993",33515
"13029_1993",35753
"13083_1993",22388
"13008_1993",36522
"13002_1993",32651
"13084_1993",37037
"13073_1993",29875
"13046_1993",36276
"13013_1993",21233
"13059_1993",28000
"13056_1993",20731
"13052_1993",20904
"13023_1993",27067
"13054_1993",27506
"13081_1993",21509
"13062_1993",23358
"13010_1993",18897
"13074_1993",19950
"13012_1993",25857
"13027_1993",22790
"13025_1993",24356
"13080_1993",19312
"13018_1993",19621
"13050_1993",18393
"13037_1993",21524
"13001_1993",18223
"13006_1993",16645
"13011_1993",16942
"13078_1993",15328
"13070_1993",12608
"13053_1993",18106
"13009_1993",13470
"13060_1993",15875
"13082_1993",12707
"13015_1993",18177
"13005_1993",13463
"13049_1993",15252
"13019_1993",14316
"13024_1993",14603
"13014_1993",16022
"13055_1993",13134
"13058_1993",16166
"13044_1993",14290
"13075_1993",9149
"13057_1993",12595
"13068_1993",13826
"13021_1993",11947
"13022_1993",9800
"13039_1993",13220
"13026_1993",9969
"13017_1993",11829
"13031_1993",12989
"13066_1993",8218
"13007_1993",9770
"13032_1993",8470
"13035_1993",9340
"13040_1993",11584
"13065_1993",7973
"13042_1993",10195
"13071_1993",11017
"13064_1993",8131
"13072_1993",9405
"13034_1993",9326
